,MSE,MAE,R2
SP500,9072.982159085886,73.29649137126866,0.8915273008543361
VIXCLS,8.77042725584703,1.7571020180431765,0.7493849811633699
DJIA,616892.4767120194,619.8148571595148,0.8416076274242265
HY_BOND_IDX,71.18433874512013,7.607884885873364,0.6308390372000745
